id	en	en_US	ja	es	fr	it	pt_BR	es_US	de	pl	zh	tr	se	ru
mission_description_so_main	Head to King Shahryar's Palace!		シャフリヤール王宮へいそげ！	¡Dirígete al Palacio del Sultán Shahriar!	Pars au Palais du Roi Shahyar ! 	Vai verso il Palazzo del Re Shahriyar!	Encontre o Palácio do Rei Xariar!	¡Ve al palacio del sultán Shahriar!	Gehe zu König Shahryas Palast!	Udaj się do Pałacu Króla Shahryar'a!	抵達山魯亞爾國王的宮殿！	Kral Shahyar'ın Sarayına Git!	Gå till Kung Shahryars Palats!	Дойдите до дворца царя Шахрияра!
mission_description_so_jar	Break 5 Jars!		ツボを5個こわせ！	¡Rompe 5 Jarrones!	Casse 5 Jarres !	Rompi 5 Anfore!	Quebre 5 Vasos!	¡Rompe 5 jarrones!	Zerbrich 5 Krüge!	Zniszcz 5 Dzbanków!	打破5個陶壺！	5 Kavanoz Kır!	Slå Sönder 5 Krukor!	Разбейте 5 кувшинов!
mission_description_so_jarless	Don't Break Any Jars!		ツボをわらずに進め！	¡No Rompas Ningún Jarrón!	Ne casse aucune jarre !	Non Rompere Nessuna Anfora!	Não Quebre Nenhum Vaso!	¡No rompas ningún jarrón!	Zerbrich keine Krüge!	Nie Zniszcz Żadnych Dzbanków!	不要打破任何陶壺！	Hiçbir Kavanoz Kırma!	Slå Inte Sönder Några Krukor!	Пройдите, не разбив ни одного кувшина!
mission_description_so_boss	Battle! Sand Scorpion!		対決!サンドスコーピオン！	¡Lucha contra el Escorpión de las Arenas!	Bats le Scorpion de Sable ! 	Battaglia Contro lo Scorpione delle Sabbie!	Derrote Sand Scorpion!	¡Pelea! ¡Es el Escorpión de la Arena!	Kämpfe! Sand Scorpion!	Bitwa! Skorpion Piaskowy!	對決！沙漠巨蠍！	Dövüş! Kum Akrebiyle!	Strid! Sandskorpionen!	Битва с песчаным скорпионом!
														
mission_description_dj_main	Follow the Pterosaur!		いそいで翼竜を追え！	¡Sigue al Pterosaurio!	Suis le Ptétosaure ! 	Segui Il Pterosauro!	Siga o Pterossauro!	¡Deprisa, sigue al pterosaurio!	Verfolge den Flugsaurier!	Podążaj za Pterozaurem!	追上翼龍！	Pterosaur'u takip et!	Följ efter Pterosaurien!	Поскорее догоните птерозавра!
mission_description_dj_genie_eggs	Smash 5 Spirit Eggs!		マジンの卵を5個こわせ！	¡Rompe 5 Huevos de Espíritu!	Brise 5 Esprits d'oeufs ! 	Distruggi 5 Uova di Spirito!	Destrua 5 Ovos Espirituais!	¡Rompe 5 huevos de majin!	Zerschlage 5 Seeleneier!	Rozbij 5 Duchowych Jaj!	打碎5個精靈蛋！	5 Ruh Yumurtası Kır!	Krossa 5 Andeägg!	Разбейте 5 яиц злого духа!
mission_description_dj_dino_eggs	Return the Dinosaur Eggs to their nests!		恐竜の巣に卵を運べ！	¡Recupera los Huevos de Dinosaurio!	Remettez les œufs de dinosaures dans leurs nids !	Restituisci le Uova di Dinosauro ai loro nidi!	Recupere os Ovos de Dinossauro!	¡Lleva los huevos al nido del dinosaurio!	Bringe die Dinosaurier Eier zum Nest!	Zwróć Jaja Dinozaurów do ich gniazd!	把恐龍蛋放回巢穴！	Dinozor Yumurtalarını yuvalarına geri koy!	Lämna tillbaka Dinosaurieäggen till deras bon!	Отнесите яйца в гнездо динозавра!
														
mission_description_ef_main	Head to the Center!		最深部へいそげ！	¡Dirígete al Núcleo!	Pars au Centre ! 	Dirigiti al Centro!	Vá para o Centro!	¡Corre a las profundidades!	Gehe zum Kern der Fabrik!	Udaj się do Centrum!	抵達最深處！	Merkeze Git!	Gå till Mitten!	Пройдите вглубь дворца!
mission_description_ef_time	Find the Exit in Time!		時間内に出口へいそげ！	¡Llega a la Salida dentro del Tiempo Límite!	Trouve la sortie avant le temps imparti ! 	Trova l'Uscita in Tempo!	Encontre a Saída a Tempo!	¡Corre y llega a tiempo a la salida!	Finde rechtzeitig den Ausgang!	Znajdź Wyjście na Czas!	在時限內抵達出口！	Zamanında Çıkışı Bul!	Hitta Utgången i Tid!	Найдите выход за отведённое время!
mission_description_ef_boss	Battle! Ifrit Golem!		対決!イフリートゴーレム！	¡Lucha contra el Gólem Ifrit!	Bats le Golem Ifrit ! 	Battaglia Contro il Golem Ifrit!	Derrote Ifrit Golem!	¡Pelea! ¡Es el Ifrit Gólem!	Kämpfe! Ifrit Golem!	Bitwa! Golem Ifrit!	對決！伊弗利特巨像！	Dövüş! İfrit Golemiyle!	Strid! Ifrit-Golemen!	Битва с Ифритом!
														
mission_description_lr_main	Find Sinbad!		シンドバッドを探しだせ！	¡Encuentra a Simbad!	Trouve Sinbad ! 	Trova Sinbad!	Encontre Simbad!	¡Encuentra a Simbad!	Finde Sindbad!	Znajdź Sinbada!	尋找辛巴達！	Sinbad'i Bul!	Hitta Sinbad!	Найдите Синдбада!
mission_description_lr_cage	Open Sinbad's Cage!		シンドバッドの牢をあけろ！	¡Libera a Simbad de su Jaula!	Ouvre la Cage de Sinbad ! 	Apri la Gabbia di Sinbad!	Abra a Jaula de Simbad!	¡Abre la celda de Simbad!	Öffne Sindbads Käfig!	Otwórz Klatkę Sinbada!	打開辛巴達的牢籠！	Sinbad'in Kafesini Aç!	Öppna Sinbads Bur!	Откройте клетку с Синдбадом!
														
mission_description_ps_main	Follow the Pirates!		嵐の海をこえ海賊団を追え！	¡Sigue a los Piratas!	Suis les Pirates ! 	Segui i Pirati!	Siga os Piratas!	¡Sigue a los piratas por los mares tormentosos!	Folge den Piraten!	Podążaj za Piratami!	在波濤洶湧的海域中追上海賊團！	Korsanları Takip Et!	Följ efter Piraterna!	Преодолейте морской шторм\nи догоните пиратов!
mission_description_ps_boss	Battle! Captain Bemoth!		対決!キャプテンベモス！	¡Lucha contra el Capitán Bimoz!	Affronte le Capitaine Bemoth ! 	Battaglia Contro il Capitano Bemoth!	Derrote Captain Bemoth!	¡Pelea! ¡Es el Capitán Bémot!	Kämpfe! Captain Bemoth!	Bitwa! Kapitan Bemoth!	對決！貝摩斯船長！	Dövüş! Kaptan Bemothla!	Strid! Kapten Bemoth!	Битва с капитаном Бемотом!
														
mission_description_sd_main	Find King Solomon!		ソロモン王をさがせ！	¡Encuentra al Rey Salomón!	Trouve le Roi Salomon !	Trova il Re Salomone!	Encontre o Rei Salomão!	¡Encuentra al Rey Salomón!	Finde König Solomon!	Znajdź Króla Solomona!	尋找所羅門王！	Kral Solomon'u Bul!	Hitta Kung Solomon!	Найдите царя Соломона!
mission_description_sd_bones	Find the King's Bones!		骸骨王の骨をあつめろ！	¡Encuentra los Huesos del Rey!	Suis les os du Roi ! 	Trova le Ossa del Re	Encontre os Ossos do Rei!	¡Recoge el esqueleto del rey!	Finde die Knochen des Königs!	Znajdź Kości Króla!	尋找骷髏王的骨骸！	Kral'ın Kemiklerini Bul!	Hitta Kungens Ben!	Соберите кости царя!
					 									
mission_description_np_main	Sneak Into the Palace!		宮殿の最深部へ突入しろ！	¡Infíltrate en el Palacio!	Infiltre toi dans le Palais ! 	Infiltrati nel Palazzo!	Invada o Palácio!	¡Irrumpe en lo profundo del palacio!	Schleiche durch den Palast!	Zakradnij Się do Pałacu!	潛入宮殿的最深處！	Saraya Gizlice Gir!	Smyg In till Palatset!	Проникните во дворец!
mission_description_np_boss	Battle! Erazor Djinn!		対決!イレイザー・ジン！	¡Lucha contra el Erazor el Yinn!	Affronte Erazor Djinn ! 	Battaglia contro Erazor Djinn!	Derrote o Erazor Djinn!	¡Pelea! ¡Es Erazor, el Genio!	Kämpfe! Erazor Djinn!	Bitwa! Erazor Dżin!	對決！伊萊薩！	Dövüş! Erazor Djinle!	Strid! Erazor-Djinn!	Битва с Эрейзором Джинном!
mission_description_np_last	It's the Final Battle!		ラスト　チャプター！	¡La Batalla Final!	Le Combat Final !	È la Battaglia Finale!	A Batalha Final!	¡Último capítulo!	Der finale Kampf!	Bitwa Ostateczna!	最終對決！	Bu Son Dövüş!	Det är Sista Striden!	Последняя глава
														
														
common_start_so	Let's go, Shahra!		いくぜシャーラ！	¡Vamos, Shara!	Allons-y Shahra !	Andiamo Shahra!	Vamos nessa, Shahra!	¡Vamos, Shahra!	Fertig, Shahra?!	Do dzieła, Shahra!	走吧，夏拉！	Hadi gidelim Shahra!	Låt oss gå, Shahra!	Погнали, Шахра!
common_start2_so	All right,\nlet's get started!		それじゃあ　はじめるとするか！	¡Venga!,\n¡a por todas!	D'accord, commençons ! 	Bene,\niniziamo!	Beleza, \npartiu!	Muy bien, ¡empecemos!	OK, lass uns loslegen!	W porządku,\nzaczynajmy!	好，我們開始吧！	Pekala,\nhadi başlayalım!	Okej, \nlåt oss börja!	Ну что ж, начнём?
common_start3_so	All right,\nlet's go!		気合入れていくぜ！	Bien,\n¡allá vamos!	Très bien,\n c'est parti !	Bene,\nAndiamo!	Beleza, \nvamos nessa!	¡Manos a la obra!	OK, los geht's!	W porządku,\ndo dzieła!	好，我們走吧！	Pekala,\nhadi gidelim!	Okej, \nlåt oss gå!	Я приложу все усилия!
common_start4_so	Here we go, Shahra!		飛ばすぜシャーラ！	¡Al lío, Shara!	On y va, Shahra !	Ci siamo Shahra!	Lá vamos nós, Shahra!	¡Sígueme, Shahra!	Auf geht's, Shahra!	Ruszamy, Shahra!	走囉，夏拉！	İşte gidiyoruz, Shahra!	Här kör vi, Shahra!	Шахра, я полетел!
common_start_sh	Be careful, Sonic!		気をつけてねソニック！	¡Ten cuidado, Sonic!	Sois prudent, Sonic !	Sta attento Sonic!	Cuidado, Sonic!	¡Ten cuidado, Sonic!	Sei vorsichtig, Sonic!	Ostrożnie, Sonic!	要小心喔，索尼克！	Dikkatli ol, Sonic!	Var försiktig, Sonic!	Будь осторожен, Соник!
common_start2_sh	Good luck, Sonic!		がんばってねソンック！	¡Mucha suerte, Sonic!	Bonne chance Sonic !	Buona fortuna, Sonic!	Boa sorte, Sonic!	¡Da lo mejor, Sonic!	Viel Glück, Sonic!	Powodzenia, Sonic!	祝好運，索尼克！	İyi şanslar, Sonic!	Lycka till, Sonic!	Удачи, Соник!
common_start3_sh	This is going to be fun!		期待してるわよ！	¡Esto promete!	Ca va être amusant ! 	Questo sarà divertente!	Isso vai ser divertido!	¡Cuento contigo!	Das wird ein Spaß!	To będzie świetna zabawa!	這下好玩囉！	Bu eğlenceli olacak!	Det här kommer att bli kul!	Я надеюсь на тебя!
common_start4_sh	Sonic, slow down!		ほどほどにねソニック！	Sonic,\n¡no vayas tan rápido!	Sonic, ralenti !	Sonic, rallenta!	Calma, Sonic!	¡Tranquilo, Sonic!	Sonic, nicht so schnell!	Sonic, zwolnij!	索尼克，慢點！	Sonic, yavaşla!	Sonic, sakta ner!	Соник, притормози!
common_advice_so	What should we do, Shahra?		どうするシャーラ？	¿Y ahora qué, Shara?	Que devrions-nous faire, Shahra ?	Cosa dovremmo fare, Shahra?	O que vamos fazer, Shahra?	¿Qué hacemos, Shahra?	Was jetzt, Shahra?	Co powinniśmy zrobić, Shahra?	夏拉，我們該怎麼辦？	Ne yapmalıyız, Shahra!	Vad borde vi göra, Shahra!	Что будем делать, Шахра?
common_advice_sh	Keep going, of course!		もちろん　行くしかないででっしょう！	¡Hemos de seguir avanzando!	On continue, bien sûr !	Continuare, ovviamente!	Seguir adiante, é claro!	¡Obvio, sólo podemos seguir!	Weiterlaufen, natürlich.	Nie zwalniać tempa, oczywiście!	當然是繼續走囉！	Devam etmeliyiz, elbette!	Fortsätta, så klart!	Конечно идти! Другого выхода нет!
common_resolution_so	Let's do it!		一気にいくぜ！！	¡A por todas!	Allons-y !	Facciamolo!	Vamos nessa!	¡¡Démoslo todo!!	Na dann los!	Zróbmy to!	來做吧！	Hadi yapalım!	Låt oss göra det!	Сделаю всё сразу!
common_resolution_sh	Hey Sonic, wait!		ちょっ！　まってよソニック！！	¡Eh, Sonic!; ¡espera!	Hey Sonic, attends !	Ehi Sonic, aspetta!	Ei Sonic, espera!	Esp... ¡Espera, Sonic!	H-hey! Sonic, warte!	Hej Sonic, czekaj!	嘿索尼克，等等啊！	Hey Sonic, bekle!	Hörru Sonic, vänta!	Стой, Соник! Подожди!
common_unknown_so	What is it?		なんだこれ？	¿Qué pasa?	Qu'y a-t-il ?	Che cos'è?	O que foi?	¿Qué es esto?	Was ist das?	Co to jest?	怎麼了？	Bu nedir?	Vad är det?	Это ещё что?
common_unknown_sh	Hmm...What's that?		お　なにかしら？	Hum... ¿Qué es eso?	Hmm... Qu'est-ce que c'est ?	Hmm...Cos'è quello?	Hmm... O que é isso?	Oh... ¿Qué es eso?	Hmm...Was ist das?	Hmm... Co to?	嗯…那是什麼？	Hmm... Bu da ne?	Hmm... Vad är det där?	Хм? Что это?
common_confused_so	Hey! What's going on?		ヘーイ　なんだこりゃ？	¡Eh!, ¿que está pasando?	Hé! Que se passe-t-il ?	Ehi! Cosa sta succedendo?	Ei! O que tá rolando?	¡Ey, ¿qué es esto?!	Hey! Was geht denn hier ab?!	Hej! Co jest grane?	嘿！怎麼回事？	Hey! Neler oluyor?	Hörru! Vad är det som händer?	Эй, а это ещё что?
common_confused_sh	I think there's something we can do here.		ためしに何かしてみたら？	Debe de haber algo que podamos hacer...	Je pense que nous pouvons faire quelque chose ici.	Penso che ci sia qualcosa che possiamo fare qui.	Acho que tem algo que podemos fazer aqui.	¿Hay algo que quieras intentar?	Ich denke es gibt hier etwas, was wir tun können.	Myślę, że jest tu coś, co możemy zrobić.	我覺得我們可以在這裡做些什麼事。	Sanırım burada yapabileceğimiz bir şey var.	Jag tror det är något vi kan göra här.	Попробуй что-нибудь сделать.
common_concern_sh	Are you okay, Sonic?		大丈夫ソニック？	¿Estás bien, Sonic?	Ça va, Sonic ?	Stai bene, Sonic?	Você está bem, Sonic?	¿Estás bien, Sonic?	Alles in Ordnung, Sonic?	Nic ci nie jest, Sonic?	索尼克，你沒事吧？	İyi misin, Sonic?	Är du okej, Sonic?	Соник, всё хорошо?
common_concern2_sh	Don't strain yourself too much.		飛ばしすぎないでよ？	No te fuerzes hasta el límite.	Ne te fatigue pas trop !	Non sforzarti troppo.	Evite se esforçar demais.	No vayas tan rápido, ¿sí?	Überanstrenge dich nicht!	Nie nadwyrężaj się tak..	別做過頭囉。	Kendinizi çok fazla zorlama.	Änsträng dig inte för myckert!	Не лети так быстро!
common_confident_so	Just leave it to me!		なーにまかせとけって！	¡Tú déjamelo a mí!	Laisse-moi faire ! 	Lascia fare a me!	Deixa comigo!	¡Yo me encargo!	Ich mach das schon!	Po prostu zostaw to mnie!	就交給我吧！	Sadece bana bırak!	Bara lämna det till mig!	Конечно! Положись на меня!
common_goal_so	Let's head for the goal!		ゴールまで突っ走るぜ！	¡Dirijámonos a la meta!	Direction droit au but !	Andiamo verso il traguardo!	Partiu pro objetivo!	¡Corramos a la meta!	Wir sind schon fast da!	Ruszajmy do mety!	我們趕往終點吧！	Hadi hedefe gidelim!	Låt oss gå till målet!	Я бегу к финишу со всех ног!
common_dizzy_so	Wahoo!		ヒヤッホー！	¡Toma ya!	Wahoo !	Wahoo!	Wahoo!	¡Guajúu!	Wahuu!	Łuhu!	哇呼！	Wahoo!	Wahoo!	Ву-ху!
common_dizzy2_so	Yeah, excellent!		ＹＥＡＨ！　ゴキゲンだぜ！	¡Sí! ¡Genial!	Ouais,excellent ! 	Sì, eccellente!	É isso aí!	¡Sí! ¡Súper bien!	Yeah, nur weiter so!	Tak, super!	Yeah！完美！	Evet, mükemmel!	Ja, utmärkt!	Йе-е-е-е! Отлично!
common_dizzy3_so	Yahoo!		ＹＡＨＯＯ！	¡Qué pasada!	Yahoo !	Yahoo!	Yahoo!	¡Yajúu!	Yahoo!	Juhu!	呀呼！	Yahoo!	Yahoo!	Йее-хуу!
common_dizzy_sh	Ahhhh!\nI'm getting dizzy!		やーっ！　目が回る～！！	¡Aaah!\n¡Qué mareo!	Ahhh !\nJ'ai le vertige !	Ahhhh!\nHo le vertigini!	Ahhhh!\nEu tô ficando zonza!	¡Ah... estoy mareada!	Aaaah! Mir wird schwindlig!	Ahhhh!\nKręci mi się w głowie!	啊啊！我要暈了！	Ahhh!\nSersemliyorum!	Ahhhh!\nJag börjar bli yr!	Уа-а-а! Голова кружится!
common_dizzy2_sh	Eeeek!		きゃー！！	¡Aaah!	Je crois que je vais vomir...	Eeeek!	Aaaah!	¡Ay...!	Aaaah!	Aaaah!	伊呀呀！！	Eeeek!	Eeeek!	А-а-а-а-а!
common_dizzy3_sh	Wh-whooaa!		ちょ　ちょっとー！！	¡Aaah!	Ouah !	Wh-whoaa!	Aaaah!	¡E-Espera...!	Wh-whoaa!	Aaaah!	哇啊啊！	Wh-whooaa!	Wh-whooaa!	Уа-а-а!
common_secret_so	Yes! I knew it!		ＹＥＳ！　思ってとりだ	¡Sí! ¡Lo sabía!	Ouais ! Je le savais !	Sì, lo sapevo!	Isso! Sabia!	¡Sí, justo como imaginé!	Yes! Wie ich's mir dachte!	Tak! Wiedziałem!	讚啦！我就知道！	Evet! Biliyordum!	Ja! Jag visste det!	Да! Как я и думал!
common_secret_sh	You're lucky, Sonic!		ラッキーねソニック！	¡Qué suerte tienes, Sonic!	Tu es chanceux Sonic ! 	Sei fortunato Sonic!	Você é sortudo, Sonic!	¡Eres un suertudo, Sonic!	Du hast Glück, Sonic!	Szczęściarz z Ciebie, Sonic!	索尼克你真幸運！	Şanslısın, Sonic!	Du har tur, Sonic!	Повезло, Соник!
common_collect_so	Heheh, I'll take that!		へへ　いただきだぜ！	¡Ja,ja! ¡Me quedo con eso!	Héhé, je prend ça ! 	Heheh, questo lo prendo io!	Heheh, bobeou, dançou! 	Jeje. ¡Me lo llevo!	Hehe. Wenn's sonst keiner will!	Heh, wezmę to Sobie!	嘿，簡單啦！	Heheh, bunu alacağım!	Heheh, den tar jag!	Ха-ха, эту игру выиграл я!
common_collect_sh	Good job!		やるじゃない！	¡Bien hecho!	Bon travail !	Ottimo lavoro!	Bom trabalho!	¡Nada mal!	Gut gemacht!	Dobra robota!	做得好！	İyi iş!	Bra jobbat!	Ты молодец!
common_caution_so	Shahra, watch out!		来るぞ！　シャーラ！	¡Cuidado, Shara!	Shahra, attention !	Shahra, attenta!	Shahra, cuidado!	¡Nos atacan, Shahra!	Shahra, pass auf!	Shahra, uważaj!	夏拉，小心！	Shahra, dikkat et!	Shahra, akta dig!	Они наступают, Шахра!
common_caution_sh	Ahhh!		うわっ！！	¡Aaah!	Ahhh!	Ahhh!	Ahhh!	¡Guaah...!	Aah!	Ahhh!	啊啊啊！	Ahhh!	Ahhh!	А-а-а-а!
common_caution2_so	Let's be careful here.		ちょい気をつけていくか	Tengamos cuidado ahora.	Faisons attention ici.	Facciamo attenzione qui.	Vamos com cuidado aqui.	Aquí tengamos cuidado...	Hier passen wir lieber auf.	Badżmy tutaj ostrożni.	我們小心點過去吧。	Hadi burada dikkatli olalım.	Låt oss vara försiktiga här.	Постараюсь быть осторожным.
common_caution2_sh	Proceed with caution.		ここからは慎重にいきましょ	Avanza con cuidado.	Avançons attentivement.	Procedi con cautela.	Avance com cuidado.	Hay que avanzar con más cuidado.	Sei vorsichtig hier.	Postępuj ostrożnie.	慎重地前進吧。	Dikkatli ilerle.	Forsätt med varsamhet.	А теперь сосредоточься!
common_jump_so	Jump!		とぶぜ！	¡Salta!	Saute ! 	Salta!	Pula!	¡A volar!	Spring!	Skacz!	跳！	Zıpla!	Hopp!	Я полетел!
common_jump2_so	Yahoo!		ＹＡＨＯＯ！	¡Toma ya!	Yahoo !	Yahoo!	Yahoo!	¡Yajúu!	Yahoo!	Jupi!	呀呼！	Yahoo!	Yahoo!	Йее-хуу!
common_jump_sh	Okay!		ＯＫ！	¡Bien!	Ok ! 	Ok!	Ok!	¡Okey!	OK!	Okej!	OK！	Tamam!	Okej!	Окей!
common_jump2_sh	Hyahhh!		ひゃああああ	¡Aaah!	Hyahhh !	Hyahhh!	Riahhh!	¡Jíaaah!	Jaaaa!	Hyahhh!	哈呀啊啊！	Hyahhh!	Hyahhh!	И-а-а-а!
common_fall_so	Whoa!			¡Hala!	Ouah !	Whoa!	Uou!	¡Guau...!	Whoa!	Łoł!	哇嗚！	Whoa!	Whoa!	Уа-а-а-а!
common_fall2_so	Look out below!		急降下だぜ！	¡Mira abajo!	Regarde en-dessous ! 	Attenzione in basso!	Cuidado, aí em baixo!	¡Está bastante alto!	Vorsicht, da unten!	Uwaga na dole!	下面的小心！	Aşağa bak!	See upp där nere!	Резкий спуск!
common_fall_sh	We're falling!		おちるわ！	¡Nos caemos!	On tombe !	Stiamo cadendo!	Estamos caindo!	¡Nos caemos!	Wir fallen!	Spadamy!	我們要摔下去了！	Düşüyoruz!	Vi faller!	Ты падаешь!
common_fall2_sh	Ahhhh!		やーん！	¡Aaah!	Ahhh !	Ahhhh!	Ahhhh!	¡Aaah...!	Aaah!	Ahhhh!	啊啊啊！	Ahhhh!	Ahhhh! 	А-а-а-а-а!
common_recovery_so	Heh, no problem!		どうってことないさ！	¡Je! ¡Sin un rasguño!	Hehe, aucun problème !	Heh, nessun problema!	Heh, sem problemas!	¡No fue para tanto!	Ha! Kein Problem!	Heh, żaden problem!	嘿，沒問題啦！	Heh, sıkıntı yok!	Heh, inga problem!	Всё обошлось!
common_recovery2_so	Had me worried there for a second.		ちょっと　今のはやばかったかな	Que susto me acabo de llevar...	J'ai eu peur sur le coup.	Mi hai fatto preoccupare lì per un attimo.	Fiquei preocupado por um instante.	Vaya, la vimos cerca...	Woah. Knappe Kiste, dass!	Martwiłem się tam przez chwilę.	害我擔心了一下呢。	Beni biraz olsun endişelendirdin.	Du gjorde mig orolig för en stund där.	Да, это было опасно!
common_recovery_sh	That was close!		あぶなかったわね！	¡Por poco!	C'est pas passé loin !	Per un pelo!	Essa foi por pouco!	¡Por poco!	Das war knapp!	Było blisko!	剛才好險！	Bu yakındı!	Det var nära!	Это было опасно!
common_recovery2_sh	Talk about a close call!		危機一髪ってカンジね	¡Ha estado cerca!	Quelle situation !	Parlando di situazioni rischiose!	Essa foi por um triz!	Estuvo cerca, ¿no?	Das war eine knappe Sache!	O mały włos!	真是好險呢！	Çok yakın bir tehlikeden bahsediyoruz!	Snacka om nära ögat!	Ты был на волоске!
common_worry_so	Hey, don't worry!			Hey, ¡no te preocupes!	Hey, t'inquiète !	Ehi, non preoccuparti!	Ei, não se preocupa!	¡No te preocupes!	Hey, mach dir keinen Kopf!	Hej, nie martw się!	嘿，別擔心啦！	Hey, endişelenme!	Hörru, oroa dig inte!	Не беспокойся!
common_worry_sh	Sonic, are you alright?		ちょっと　大丈夫ソニック？	Sonic, ¿estás bien?	Sonic, ça va ?	Sonic, Stai bene?	Sonic, você está bem?	Oye, ¿estás bien, Sonic?	Sonic, geht es dir gut?	Sonic, wszystko w porządku?	索尼克，你還好嗎？	Sonic, iyi misin?	Sonic, är du okej!	Соник, ты в порядке?
common_lap_sh	That's one lap!		一周したわね	¡Ya llevas una vuelta!	C'était le premier tour !	Questo è un giro!	Completamos uma volta!	¡Completamos una vuelta!	Das war eine Runde!	To było pierwsze okrążenie!	一圈完成！	Bu bir tur!	Det var ett varv!	Ты сделал круг!
common_lap_so	One down, more to go!		みたいだな！	Esa es la primera;\n¡a por la siguiente!	Un de moins, au suivant !	Uno giù, passiamo al prossimo!	Um já foi, e lá vem mais!	¡Eso parece!	Erste Runde, abgehakt!	Jedno z głowy, więcej przed nami!	再來繼續把剩下的跑完！	Biri gitti, daha gidilecek var!	En avklarad, flera kvar!	Похоже на то!
common_end_so	All right!		ＡＬＬ　ＲＩＧＨＴ！	¡Nada mal!	Super !	Bene!	Beleza!	¡Muy bien!	OK!	Jasne!	好耶！	Pekala!	Okej!	Хорошо!
common_end_sh	Just a little more, Sonic!		あと少しよソニック！	¡Ya casi está. Sonic!	Ce n'est plus très loin, Sonic !	Ancora un pochino, Sonic!	Só mais um pouco, Sonic!	¡Sólo un poco más, Sonic!	Nicht nachlassen, Sonic!	Jeszcze tylko troszkę, Sonic!	就快了索尼克！	Sadece biraz daha, Sonic!	Bara lite till, Sonic!	Ещё немного, Соник!
common_halfway_so	Roger that!		りょうかい	¡Recibido!	Compris !	Ricevuto!	Entendido!	¡Entendido!	Alles klar!	Przyjąłem!	收到！	Anlaşıldı!	Uppfattat!	Понял!
common_halfway_sh	We're about halfway!		今大体半部でとこね	¡Vamos por la mitad!	On est presque à la moitié !	Siamo a metà!	Estamos na metade do caminho!	¡Llevamos casi la mitad del camino!	Wir sind etwa halbwegs fertig!	Jesteśmy mniej więcej w połowie!	我們剩一半了！	Yarısındayız!	Vi är ungefär halvvägs!	Осталась примерно половина!
common_encourage_so	All right already!		やれやれだぜ全く！	¡Venga, vamos!	Allez, c'est parti !	Dai, andiamo!	Vamos nessa!	¡Esto es un fastidio!	Ist ja gut!	No, dalej!	知道了！	Pekala o zaman!	Nu räcker det!	Давай-давай!
common_encourage_sh	Keep going, Sonic!		まだまだあるわよソニック！	¡No te rindas, Sonic!	Continue, Sonic !	Continua, Sonic!	Continue, Sonic!	¡Aún hay más, Sonic!	Weiter, Sonic!	Tak trzymaj, Sonic!	繼續啊，索尼克！	Devam et, Sonic!	Fortsätt framåt, Sonic!	Ещё не всё, Соник!
common_up_so	Let's go up.		この上行ってみよう	Vayamos hacia arriba.	Montons.	Andiamo su.	Vamos subir.	Hay que subir.	Da oben geht's weiter.	Chodżmy na górę.	我們上去吧。	Hadi yukarı çıkalım.	Låt oss gå uppåt.	Попробуем забраться наверх?
common_up_sh	Try going up there.		ねぇ、上に行ってみましょう	Prueba subir ahí arriba.	Essaie de monter là-bas.	Prova ad andare lì sopra.	Tente ir lá em cima.	Oye, subamos allá.	Versuche nach oben zu gehen.	Spróbuj wejść na górę.	我們試試看上去吧	Buradan yukarı çıkmayı dene.	Prova att gå upp där!	Давай попробуем забраться наверх.
common_up2_so	Maybe we should go up here.		この先で　上に行ってみるか	Quizás deberíamos subir ahí.	On pourrait monter par là.	Forse dovremmo andare quassù.	Talvez a gente devesse subir aqui.	¿Deberíamos subir?	Hmm, da oben könnte was sein!	Może powinniśmy wejść na górę.	或許我們該從這裡上去。	Belki buradan yukarı çıkmalıyız.	Vi kanske borde gå upp där.	Попробуем залезть наверх?
common_up2_sh	Let's try going up here.		この先で　上に行ってみましょう	Probemos subir ahí arriba.	Essayons de monter par là.	Proviamo ad andare quassù.	Vamos tentar subir aqui.	Sigamos por arriba.	Lass uns versuchen nach oben zu gehen.	Spróbujmy wejść na górę.	我們試試看從這裡上去吧	Hadi buradan yukarı çıkmayı deneyelim.	Vi provar att gå upp där!	Попробуй залезть наверх!
common_down_so	We should go down.		ここで　降りてみるか	Deberíamos bajar.	On devrait descendre.	Dovremmo andare giù.	Vamos descer.	¿Y si bajamos?	Da unten ist ein Weg.	Powinniśmy zejść na dół.	我們下去吧。	Aşağı inmeliyiz.	Vi borde gå ner!	Попробуем спуститься отсюда?
common_down_sh	Let's try going down.		ここから　降りてみましょう	Probemos bajar.	Essayons de descendre.	Proviamo ad andare giù.	Tente ir lá em baixo.	Bajemos allá.	Lass uns versuchen nach unten zu gehen.	Spróbujmy zejść na dół.	我們下去看看吧。	Hadi aşağı inelim.	Vi provar att gå ner!	Попробуй спуститься отсюда!
common_down2_so	Maybe we should go down here.		この先で　下に行ってみるか	Quizás deberíamos bajar.	On pourrait descendre ici.	Forse dovremmo andare quaggiù.	Talvez a gente devesse ir aqui em baixo.	¿Deberíamos bajar?	Vielleicht sollten wir hier heruntergehen.	Może powinniśmy zejść na dół.	我們或許該從這裡下去。	Belki buradan aşağı inmeliyiz.	Vi kankse borde gå ner där!	Попробуем спуститься?
